198.769 -3.09449e-06 -0.00502828  3.62237 -0.076128  3.62676e-06 -0.00502876  3.3566 -0.0574218  
201.093 -3.03483e-06 -0.00497022  3.62283 -0.075042  3.54297e-06 -0.00497067  3.35662 -0.0568018  
203.418 -2.9767e-06 -0.00491348  3.62328 -0.0739866  3.46207e-06 -0.00491391  3.35664 -0.056195  
205.743 -2.92004e-06 -0.00485802  3.62371 -0.0729605  3.3839e-06 -0.00485843  3.35666 -0.055601  
208.068 -2.86482e-06 -0.0048038  3.62412 -0.0719624  3.30836e-06 -0.00480419  3.35667 -0.0550195  
210.392 -2.81101e-06 -0.00475077  3.62453 -0.0709913  3.23532e-06 -0.00475115  3.35669 -0.05445  
212.717 -2.75856e-06 -0.0046989  3.62492 -0.070046  3.16468e-06 -0.00469926  3.35671 -0.0538922  
215.042 -2.70744e-06 -0.00464815  3.62529 -0.0691256  3.09633e-06 -0.00464849  3.35672 -0.0533457  
217.367 -2.65761e-06 -0.00459849  3.62566 -0.0682291  3.03017e-06 -0.00459881  3.35674 -0.0528102  
219.692 -2.60902e-06 -0.00454987  3.62601 -0.0673555  2.96611e-06 -0.00455018  3.35675 -0.0522853  
222.016 -2.56166e-06 -0.00450227  3.62636 -0.066504  2.90407e-06 -0.00450257  3.35677 -0.0517708  
224.341 -2.51547e-06 -0.00445566  3.62669 -0.0656737  2.84395e-06 -0.00445595  3.35678 -0.0512662  
226.666 -2.47044e-06 -0.00441  3.62701 -0.0648639  2.78569e-06 -0.00441027  3.35679 -0.0507714  
228.991 -2.42651e-06 -0.00436527  3.62732 -0.0640739  2.7292e-06 -0.00436553  3.35681 -0.0502861  
231.315 -2.38367e-06 -0.00432143  3.62762 -0.0633029  2.67441e-06 -0.00432168  3.35682 -0.04981  
233.64 -2.34188e-06 -0.00427847  3.62792 -0.0625502  2.62126e-06 -0.00427871  3.35683 -0.0493428  
235.965 -2.30111e-06 -0.00423635  3.6282 -0.0618152  2.56968e-06 -0.00423658  3.35684 -0.0488843  
238.29 -2.26133e-06 -0.00419505  3.62848 -0.0610973  2.51961e-06 -0.00419527  3.35686 -0.0484342  
240.615 -2.22251e-06 -0.00415455  3.62875 -0.0603958  2.47099e-06 -0.00415476  3.35687 -0.0479923  
242.939 -2.18463e-06 -0.00411482  3.62901 -0.0597103  2.42376e-06 -0.00411503  3.35688 -0.0475584  
245.264 -2.14765e-06 -0.00407585  3.62926 -0.0590402  2.37788e-06 -0.00407605  3.35689 -0.0471323  
247.589 -2.11156e-06 -0.0040376  3.62951 -0.0583849  2.33329e-06 -0.00403779  3.3569 -0.0467138  
249.914 -2.07631e-06 -0.00400007  3.62975 -0.057744  2.28994e-06 -0.00400025  3.35691 -0.0463026  
252.238 -2.0419e-06 -0.00396323  3.62998 -0.0571171  2.24779e-06 -0.00396341  3.35692 -0.0458986  
254.563 -2.0083e-06 -0.00392706  3.63021 -0.0565036  2.2068e-06 -0.00392723  3.35693 -0.0455016  
256.888 -1.97547e-06 -0.00389154  3.63043 -0.0559031  2.16691e-06 -0.00389171  3.35694 -0.0451114  
259.213 -1.94341e-06 -0.00385667  3.63065 -0.0553153  2.1281e-06 -0.00385682  3.35695 -0.0447279  
261.538 -1.91209e-06 -0.00382241  3.63086 -0.0547397  2.09033e-06 -0.00382256  3.35695 -0.0443508  
263.862 -1.88149e-06 -0.00378875  3.63106 -0.054176  2.05355e-06 -0.0037889  3.35696 -0.04398  
266.187 -1.85158e-06 -0.00375568  3.63126 -0.0536237  2.01774e-06 -0.00375582  3.35697 -0.0436154  
268.512 -1.82235e-06 -0.00372318  3.63145 -0.0530826  1.98285e-06 -0.00372332  3.35698 -0.0432567  
