349.188 -2.60335e-06 -0.0028631  5.31757 -0.0663627  2.39942e-06 -0.00286295  4.70728 -0.0841839  
352.015 -2.56129e-06 -0.00284011  5.31752 -0.0658664  2.36382e-06 -0.00283997  4.70694 -0.0833868  
354.843 -2.52025e-06 -0.00281749  5.31747 -0.0653774  2.32898e-06 -0.00281736  4.7066 -0.0826047  
357.67 -2.48018e-06 -0.00279523  5.31742 -0.0648957  2.29488e-06 -0.0027951  4.70627 -0.0818371  
360.498 -2.44107e-06 -0.00277332  5.31737 -0.064421  2.26149e-06 -0.00277319  4.70595 -0.0810836  
363.325 -2.40288e-06 -0.00275174  5.31732 -0.0639532  2.22881e-06 -0.00275162  4.70564 -0.0803439  
366.153 -2.36557e-06 -0.0027305  5.31727 -0.0634921  2.19681e-06 -0.00273038  4.70534 -0.0796176  
368.98 -2.32914e-06 -0.00270959  5.31723 -0.0630377  2.16547e-06 -0.00270947  4.70504 -0.0789043  
371.807 -2.29354e-06 -0.00268899  5.31718 -0.0625897  2.13478e-06 -0.00268888  4.70475 -0.0782037  
374.635 -2.25875e-06 -0.00266871  5.31714 -0.062148  2.10472e-06 -0.0026686  4.70447 -0.0775154  
377.462 -2.22475e-06 -0.00264872  5.3171 -0.0617125  2.07527e-06 -0.00264862  4.70419 -0.0768391  
380.29 -2.19152e-06 -0.00262904  5.31705 -0.0612831  2.04642e-06 -0.00262894  4.70392 -0.0761745  
383.117 -2.15902e-06 -0.00260964  5.31701 -0.0608596  2.01815e-06 -0.00260954  4.70365 -0.0755212  
385.945 -2.12725e-06 -0.00259053  5.31697 -0.0604419  1.99045e-06 -0.00259044  4.70339 -0.0748792  
388.772 -2.09617e-06 -0.0025717  5.31694 -0.0600299  1.96329e-06 -0.00257161  4.70314 -0.0742479  
391.6 -2.06577e-06 -0.00255314  5.3169 -0.0596235  1.93668e-06 -0.00255305  4.70289 -0.0736272  
394.427 -2.03603e-06 -0.00253484  5.31686 -0.0592226  1.91059e-06 -0.00253476  4.70264 -0.0730167  
397.254 -2.00693e-06 -0.00251681  5.31682 -0.058827  1.88501e-06 -0.00251672  4.7024 -0.0724164  
400.082 -1.97845e-06 -0.00249903  5.31679 -0.0584367  1.85993e-06 -0.00249895  4.70217 -0.0718258  
402.909 -1.95057e-06 -0.0024815  5.31675 -0.0580515  1.83533e-06 -0.00248142  4.70194 -0.0712447  
405.737 -1.92328e-06 -0.00246421  5.31672 -0.0576714  1.81121e-06 -0.00246413  4.70172 -0.070673  
408.564 -1.89656e-06 -0.00244716  5.31668 -0.0572962  1.78755e-06 -0.00244709  4.7015 -0.0701104  
411.392 -1.87039e-06 -0.00243035  5.31665 -0.0569258  1.76434e-06 -0.00243028  4.70129 -0.0695567  
414.219 -1.84476e-06 -0.00241377  5.31662 -0.0565602  1.74157e-06 -0.00241369  4.70108 -0.0690116  
417.046 -1.81966e-06 -0.00239741  5.31659 -0.0561993  1.71923e-06 -0.00239734  4.70087 -0.0684751  
419.874 -1.79507e-06 -0.00238127  5.31656 -0.055843  1.6973e-06 -0.0023812  4.70067 -0.0679468  
422.701 -1.77097e-06 -0.00236535  5.31653 -0.0554911  1.67579e-06 -0.00236528  4.70047 -0.0674266  
425.529 -1.74736e-06 -0.00234963  5.3165 -0.0551437  1.65467e-06 -0.00234957  4.70028 -0.0669143  
428.356 -1.72421e-06 -0.00233413  5.31647 -0.0548005  1.63394e-06 -0.00233407  4.70009 -0.0664097  
431.184 -1.70153e-06 -0.00231883  5.31644 -0.0544617  1.61359e-06 -0.00231877  4.6999 -0.0659127  
434.011 -1.67929e-06 -0.00230373  5.31641 -0.0541269  1.59361e-06 -0.00230367  4.69972 -0.0654231  
436.838 -1.65748e-06 -0.00228882  5.31638 -0.0537963  1.57399e-06 -0.00228876  4.69954 -0.0649407  
439.666 -1.6361e-06 -0.00227411  5.31636 -0.0534697  1.55473e-06 -0.00227405  4.69936 -0.0644653  
